                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.84046,                0.54707,                 1.1484,                 0.9083,                0.90959,                0.92898,                0.57718,                 1.3704,                0.56678,                 1.3786,             0.00018406,             0.00018406,             0.00018406
                     90,                0.80454,                0.49152,                 1.1198,                0.90728,                0.90835,                0.93863,                 0.5665,                 1.3912,                0.55471,                 1.4021,             0.00016991,             0.00016991,             0.00016991
                     91,                0.78458,                0.49209,                 1.1192,                0.92106,                0.94142,                0.94995,                0.56544,                 1.4383,                0.54599,                 1.4447,             0.00015576,             0.00015576,             0.00015576
                     92,                0.77807,                0.48186,                 1.1342,                0.90857,                0.94159,                0.95318,                0.56485,                 1.4641,                0.55009,                 1.4646,             0.00014161,             0.00014161,             0.00014161
                     93,                0.76847,                0.47454,                 1.1089,                0.92242,                0.90247,                0.94087,                0.56585,                 1.4525,                0.55804,                 1.4426,             0.00012747,             0.00012747,             0.00012747
                     94,                0.78435,                0.48472,                 1.1102,                0.91526,                0.93099,                0.94704,                0.59776,                 1.3423,                0.53148,                 1.3642,             0.00011332,             0.00011332,             0.00011332
                     95,                0.76946,                0.47539,                 1.1003,                0.91122,                0.93131,                0.94641,                0.57988,                 1.3863,                0.54869,                 1.3973,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.76536,                0.47747,                 1.1105,                0.91202,                0.92904,                0.94959,                0.58779,                 1.3638,                0.54126,                 1.3833,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.74643,                0.46594,                 1.0987,                0.91324,                0.93504,                0.94723,                0.59509,                 1.3839,                0.53252,                 1.3838,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.75395,                0.45904,                 1.1003,                0.91935,                 0.9357,                0.94048,                0.57257,                 1.4088,                0.54679,                 1.4163,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                 0.7542,                0.48954,                 1.1002,                0.91893,                0.92597,                0.94187,                0.59288,                   1.37,                0.53845,                 1.3805,             4.2584e-05,             4.2584e-05,             4.2584e-05
